date,pollutant,value_column
2023-01-01 03:00:00,NO2,19.264536470649546
2023-01-01 04:00:00,NO2,22.404723731655654
2023-01-01 14:00:00,SO2,21.001433278860784
2023-01-01 16:00:00,PM10,108.52651817838868
2023-01-02 06:00:00,PM10,91.05258480841651
2023-01-02 11:00:00,PM10,139.50951829214642
2023-01-02 21:00:00,PM2.5,67.92571469836638
2023-01-03 10:00:00,SO2,20.178681361347493
2023-01-03 13:00:00,NO2,43.59903499374348
2023-01-04 19:00:00,NO2,32.72662760793558
2023-01-05 05:00:00,PM2.5,97.96994083238562
2023-01-06 03:00:00,NO2,18.63278815001383
2023-01-06 06:00:00,CO,1.499736055756202
2023-01-07 08:00:00,PM2.5,47.79359315081002
2023-01-07 18:00:00,PM10,65.46991933641448
2023-01-08 16:00:00,PM2.5,61.21112300827902
2023-01-08 20:00:00,PM10,124.58387473352478
2023-01-08 21:00:00,PM2.5,75.68570192548691
2023-01-09 20:00:00,PM2.5,46.181131876531246
2023-01-09 21:00:00,SO2,21.210081433051407
2023-01-10 08:00:00,PM10,21.10149949695442
2023-01-10 15:00:00,PM10,54.715125702803824
2023-01-10 15:00:00,NO2,27.81639806852643
2023-01-10 17:00:00,NO2,41.377810286548865
2023-01-11 02:00:00,SO2,23.31548959470242
2023-01-11 13:00:00,PM2.5,35.95236036000057
2023-01-11 21:00:00,PM2.5,47.834363769404355
2023-01-11 22:00:00,O3,38.04068399752198
2023-01-12 04:00:00,SO2,14.640976669482809
2023-01-12 05:00:00,SO2,15.024694379248954
2023-01-12 10:00:00,PM2.5,40.48746158221914
2023-01-12 13:00:00,SO2,25.592052524404526
2023-01-13 02:00:00,SO2,2.248553435688284
2023-01-13 05:00:00,NO2,8.34709433034325
2023-01-14 08:00:00,O3,54.78521282808345
2023-01-14 18:00:00,O3,29.001155354758822
2023-01-14 22:00:00,SO2,29.831135321068977
2023-01-15 04:00:00,CO,1.4488552452658057
2023-01-15 19:00:00,PM2.5,72.6747081069805
2023-01-16 00:00:00,NO2,43.16545045292581
2023-01-16 11:00:00,NO2,8.54155431481658
2023-01-16 17:00:00,NO2,26.69432691609996
2023-01-16 20:00:00,NO2,35.14908225619823
2023-01-16 22:00:00,PM10,143.51395242646208
2023-01-17 11:00:00,PM2.5,98.66816302289969
2023-01-18 09:00:00,NO2,6.3714182457686475
2023-01-18 17:00:00,PM10,104.1245765901971
2023-01-18 19:00:00,O3,68.15863952788442
2023-01-18 22:00:00,PM2.5,92.739658227966
2023-01-18 22:00:00,PM10,77.36321248804941
2023-01-19 00:00:00,PM10,129.4018303243788
2023-01-19 02:00:00,PM2.5,54.25411303459872
2023-01-19 03:00:00,NO2,13.542175984651632
2023-01-19 09:00:00,PM10,136.1032516711449
2023-01-19 10:00:00,PM2.5,24.072022483823066
2023-01-19 11:00:00,PM2.5,35.293854557237566
2023-01-20 13:00:00,O3,45.95391869314472
2023-01-20 15:00:00,O3,20.96220106479533
2023-01-21 02:00:00,PM2.5,52.528592038977735
2023-01-21 04:00:00,CO,0.47052238957158243
2023-01-21 08:00:00,NO2,44.162335355420666
2023-01-22 12:00:00,PM10,118.26174709594798
2023-01-22 19:00:00,NO2,36.57182259743409
2023-01-23 11:00:00,NO2,29.030822124913215
2023-01-23 20:00:00,O3,61.908052674525834
2023-01-24 13:00:00,PM10,48.80913631376255
2023-01-24 17:00:00,PM2.5,66.12934950263549
2023-01-24 19:00:00,PM10,97.77334494124898
2023-01-26 13:00:00,SO2,13.754732037207742
2023-01-26 14:00:00,NO2,38.85199551643337
2023-01-26 21:00:00,NO2,38.91720676237997
2023-01-27 09:00:00,NO2,40.770693411651415
2023-01-28 14:00:00,O3,33.583286093753344
2023-01-28 18:00:00,PM10,132.39263824745643
